device_id,LocationCode,device_ip,sdk_ts,latitude,longitude,accuracy,country,Geohash
56f3SErrQD6n/ZaX55H1Cw==,A153,asMjWA==,2021-03-02 12:36:06 UTC,28.46667,77.03333,2,IN,ttncby
56f3SErrQD6n/ZaX55H1Cw==,A278,asMjWA==,2021-03-02 12:36:06 UTC,28.46667,77.03333,2,IN,ttncby
56f3SErrQD6n/ZaX55H1Cw==,A412,asMjWA==,2021-03-02 12:36:06 UTC,28.46667,77.03333,2,IN,ttncby
R9J2h3t/S5KX1v4OH0DOQQ==,A153,373R7Q==,2021-03-04 09:59:48 UTC,28.46667,77.03333,4,IN,ttncby
R9J2h3t/S5KX1v4OH0DOQQ==,A278,373R7Q==,2021-03-04 09:59:48 UTC,28.46667,77.03333,4,IN,ttncby
R9J2h3t/S5KX1v4OH0DOQQ==,A412,373R7Q==,2021-03-04 09:59:48 UTC,28.46667,77.03333,4,IN,ttncby
PbwTogPQT8acsPkIahJquA==,A153,asN//g==,2021-03-03 02:45:12 UTC,28.46667,77.03333,11,IN,ttncby
PbwTogPQT8acsPkIahJquA==,A278,asN//g==,2021-03-03 02:45:12 UTC,28.46667,77.03333,11,IN,ttncby
PbwTogPQT8acsPkIahJquA==,A412,asN//g==,2021-03-03 02:45:12 UTC,28.46667,77.03333,11,IN,ttncby
q39YHFEKQhyPlNA6n3S0sQ==,A153,3+ysPQ==,2021-03-02 08:58:01 UTC,28.46667,77.03333,3,IN,ttncby
q39YHFEKQhyPlNA6n3S0sQ==,A278,3+ysPQ==,2021-03-02 08:58:01 UTC,28.46667,77.03333,3,IN,ttncby
q39YHFEKQhyPlNA6n3S0sQ==,A412,3+ysPQ==,2021-03-02 08:58:01 UTC,28.46667,77.03333,3,IN,ttncby
Z2qDsRsKQ2CBBRzzf5FZNg==,A153,37lXDQ==,2021-03-04 14:11:08 UTC,28.46667,77.03333,9,IN,ttncby
Z2qDsRsKQ2CBBRzzf5FZNg==,A278,37lXDQ==,2021-03-04 14:11:08 UTC,28.46667,77.03333,9,IN,ttncby
Z2qDsRsKQ2CBBRzzf5FZNg==,A412,37lXDQ==,2021-03-04 14:11:08 UTC,28.46667,77.03333,9,IN,ttncby
slHSW8/3TNq5B8tawk1fuw==,A153,Lx8sIA==,2021-03-04 08:34:45 UTC,28.46667,77.03333,5,IN,ttncby
slHSW8/3TNq5B8tawk1fuw==,A278,Lx8sIA==,2021-03-04 08:34:45 UTC,28.46667,77.03333,5,IN,ttncby
slHSW8/3TNq5B8tawk1fuw==,A412,Lx8sIA==,2021-03-04 08:34:45 UTC,28.46667,77.03333,5,IN,ttncby
E7v4DEsvTt6L4mcIHerMxQ==,A153,asQuuA==,2021-03-02 15:31:48 UTC,28.46667,77.03333,2,IN,ttncby
E7v4DEsvTt6L4mcIHerMxQ==,A278,asQuuA==,2021-03-02 15:31:48 UTC,28.46667,77.03333,2,IN,ttncby
E7v4DEsvTt6L4mcIHerMxQ==,A412,asQuuA==,2021-03-02 15:31:48 UTC,28.46667,77.03333,2,IN,ttncby
q1/eGCL6RkyMT/mNrLzPJQ==,A153,Z2K/fQ==,2021-03-02 10:30:14 UTC,28.46667,77.03333,10,IN,ttncby
q1/eGCL6RkyMT/mNrLzPJQ==,A278,Z2K/fQ==,2021-03-02 10:30:14 UTC,28.46667,77.03333,10,IN,ttncby
q1/eGCL6RkyMT/mNrLzPJQ==,A412,Z2K/fQ==,2021-03-02 10:30:14 UTC,28.46667,77.03333,10,IN,ttncby
K7XZRgRTSW+Q452X9hqw6w==,A153,Lx7Nzg==,2021-03-02 17:02:25 UTC,28.46667,77.03333,6,IN,ttncby
K7XZRgRTSW+Q452X9hqw6w==,A278,Lx7Nzg==,2021-03-02 17:02:25 UTC,28.46667,77.03333,6,IN,ttncby
K7XZRgRTSW+Q452X9hqw6w==,A412,Lx7Nzg==,2021-03-02 17:02:25 UTC,28.46667,77.03333,6,IN,ttncby
